ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Time
1,Location 1 - Location 1,1,1,1,0.000000000000000
2,Location 1 - Location 2,1,2,2,60.000000000022609
3,Location 1 - Location 11,1,11,3,60.000001622841097
4,Location 1 - Location 12,1,12,4,84.852816037481333
5,Location 1 - Location 3,1,3,5,120.000001622884570
6,Location 1 - Location 21,1,21,6,120.000003245703060
7,Location 1 - Location 13,1,13,7,144.852816037479580
8,Location 1 - Location 22,1,22,8,144.852816037481260
9,Location 1 - Location 23,1,23,9,169.705632074941780
10,Location 1 - Location 4,1,4,10,180.000003245747420
11,Location 1 - Location 31,1,31,11,180.000004868565010
12,Location 1 - Location 14,1,14,12,204.852816037479580
13,Location 1 - Location 32,1,32,13,204.852816037481320
14,Location 1 - Location 24,1,24,14,229.705632074938310
15,Location 1 - Location 33,1,33,15,229.705632074941780
16,Location 1 - Location 5,1,5,16,240.000004868609380
17,Location 1 - Location 41,1,41,17,240.000006491426970
18,Location 1 - Location 34,1,34,18,254.558448112402230
19,Location 1 - Location 15,1,15,19,264.852816037479560
20,Location 1 - Location 42,1,42,20,264.852816037481260
21,Location 1 - Location 25,1,25,21,289.705632074936550
22,Location 1 - Location 43,1,43,22,289.705632074940070
23,Location 1 - Location 6,1,6,23,300.000006491471370
24,Location 1 - Location 51,1,51,24,300.000008114288960
25,Location 1 - Location 35,1,35,25,314.558448112395300
26,Location 1 - Location 44,1,44,26,314.558448112402170
27,Location 1 - Location 16,1,16,27,324.852816037479560
28,Location 1 - Location 52,1,52,28,324.852816037481260
29,Location 1 - Location 45,1,45,29,339.411264149862690
30,Location 1 - Location 26,1,26,30,349.705632074936550
31,Location 1 - Location 53,1,53,31,349.705632074940130
32,Location 1 - Location 7,1,7,32,360.000008114335060
33,Location 1 - Location 61,1,61,33,360.000009737151800
34,Location 1 - Location 36,1,36,34,374.558448112393530
35,Location 1 - Location 54,1,54,35,374.558448112400530
36,Location 1 - Location 17,1,17,36,384.852816037479500
37,Location 1 - Location 62,1,62,37,384.852816037481260
38,Location 1 - Location 46,1,46,38,399.411264149852290
39,Location 1 - Location 55,1,55,39,399.411264149862630
40,Location 1 - Location 27,1,27,40,409.705632074936550
41,Location 1 - Location 63,1,63,41,409.705632074940070
42,Location 1 - Location 8,1,8,42,420.000009737197050
43,Location 1 - Location 71,1,71,43,420.000011360013790
44,Location 1 - Location 56,1,56,44,424.264080187321440
45,Location 1 - Location 37,1,37,45,434.558448112393480
46,Location 1 - Location 64,1,64,46,434.558448112400530
47,Location 1 - Location 18,1,18,47,444.852816037479560
48,Location 1 - Location 72,1,72,48,444.852816037481260
49,Location 1 - Location 47,1,47,49,459.411264149852290
50,Location 1 - Location 65,1,65,50,459.411264149860980
51,Location 1 - Location 28,1,28,51,469.705632074936490
52,Location 1 - Location 73,1,73,52,469.705632074940070
53,Location 1 - Location 9,1,9,53,480.000011360059030
54,Location 1 - Location 81,1,81,54,480.000012982875770
55,Location 1 - Location 57,1,57,55,484.264080187309280
56,Location 1 - Location 66,1,66,56,484.264080187321440
57,Location 1 - Location 38,1,38,57,494.558448112393590
58,Location 1 - Location 74,1,74,58,494.558448112400530
59,Location 1 - Location 19,1,19,59,504.852816037479500
60,Location 1 - Location 82,1,82,60,504.852816037481320
61,Location 1 - Location 67,1,67,61,509.116896224781840
62,Location 1 - Location 48,1,48,62,519.411264149850470
63,Location 1 - Location 75,1,75,63,519.411264149859220
64,Location 1 - Location 29,1,29,64,529.705632074936490
65,Location 1 - Location 83,1,83,65,529.705632074940010
66,Location 1 - Location 91,1,91,66,540.000012982875890
67,Location 1 - Location 10,1,10,67,540.000012982921020
68,Location 1 - Location 58,1,58,68,544.264080187309220
69,Location 1 - Location 76,1,76,69,544.264080187321380
