og_distance,og_popularity,xi_level_0,xi_level_0.25,xi_level_0.5,xi_level_0.75,xi_level_1
5.70378,-9.76188,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.53953,-8.39889,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
5.59221,-8.89355,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.28536,-16.923,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2977,-17.1436,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.69359,-24.9786,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5717,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.58615,-22.5891,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.33866,-17.8251,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.45804,-19.9782,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.74848,-26.2658,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.72339,-10.0194,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5716,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.09434,-2.64378,-1.84798,-2.80129,-3.20216,-3.43417,-3.58234
5.95113,-12.3693,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.8998,-11.7771,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.47543,-20.3138,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.07949,-13.9323,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.4019,-18.9336,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.98626,-33.199,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.33866,-17.8208,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.42606,-19.3618,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.9545,-32.1045,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.64428,-23.8747,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.78749,-4.20173,-1.84798,-2.80128,-3.20216,-3.43418,-3.58235
6.85508,-29.2114,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.45804,-19.9758,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.33866,-17.7432,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.9545,-32.2453,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55434,-21.8305,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
-Inf,-0.806028,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.48064,-8.03977,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
6.18154,-15.3353,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.4019,-18.9311,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.80239,-27.8421,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.07949,-13.948,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.07226,-35.968,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.80461,-27.8996,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.83674,-28.7056,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.07949,-13.9341,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.99768,-12.8981,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.70378,-9.84314,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.77264,-27.0474,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.06047,-35.5533,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.33362,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.64428,-23.7207,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.42606,-19.3553,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.62247,-23.3841,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.59295,-22.7413,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.72827,-25.8918,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.24564,-6.53582,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
