og_distance,og_popularity,d_shock_0.9,d_shock_0.91,d_shock_0.92,d_shock_0.93,d_shock_0.94,d_shock_0.95,d_shock_0.96,d_shock_0.97,d_shock_0.98,d_shock_0.99
6.65929,-24.2232,-1.94817e-11,-1.95148e-11,-1.95413e-11,-1.95617e-11,-1.95781e-11,-1.95912e-11,-1.96012e-11,-1.96094e-11,-1.96159e-11,-1.9621e-11
6.58271,-22.5051,-1.89624e-11,-1.91083e-11,-1.92255e-11,-1.93201e-11,-1.9396e-11,-1.94575e-11,-1.95068e-11,-1.95466e-11,-1.95786e-11,-1.96043e-11
6.49224,-20.6301,-1.61391e-11,-1.68656e-11,-1.74616e-11,-1.79505e-11,-1.83515e-11,-1.86806e-11,-1.89506e-11,-1.9172e-11,-1.93539e-11,-1.95026e-11
6.06997,-13.652,4.76771e-09,3.94274e-09,3.21823e-09,2.58211e-09,2.02396e-09,1.32436e-09,9.67367e-10,6.01504e-10,3.50139e-10,1.29371e-10
6.98626,-33.122,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.85508,-29.0641,-1.96232e-11,-1.96236e-11,-1.96241e-11,-1.96243e-11,-1.96243e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11
4.89906,-4.70573,7.02652e-06,6.19128e-06,5.38866e-06,4.61738e-06,3.87623e-06,3.16405e-06,2.47971e-06,1.82214e-06,1.1903e-06,5.83185e-07
7.02758,-34.502,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.72339,-10.0199,1.13152e-07,9.66094e-08,8.15175e-08,6.77489e-08,5.51877e-08,4.37279e-08,3.3273e-08,2.37345e-08,1.50325e-08,7.0914e-09
5.95113,-12.2112,1.68052e-08,1.41071e-08,1.17012e-08,9.55864e-09,7.64958e-09,5.94881e-09,4.43098e-09,3.07838e-09,1.86733e-09,6.59125e-10
6.41654,-19.2004,-1.5749e-11,-9.74598e-12,-1.17955e-11,-1.35012e-11,-1.4921e-11,-1.61027e-11,-1.70861e-11,-1.79048e-11,-1.8586e-11,-1.91531e-11
5.53953,-8.48042,4.02508e-07,3.47079e-07,2.95723e-07,2.48143e-07,2.04059e-07,1.63215e-07,1.25374e-07,9.03143e-08,5.78319e-08,2.7736e-08
6.06997,-13.8238,4.31992e-09,3.56987e-09,2.91092e-09,2.33219e-09,1.8243e-09,1.20385e-09,8.06662e-10,5.44817e-10,3.14845e-10,1.01874e-10
6.31567,-17.2795,9.41465e-11,6.41842e-11,3.7703e-11,1.9126e-11,3.38951e-12,-9.94049e-12,-2.12321e-11,-2.05891e-11,-2.68738e-11,-1.69751e-11
6.76311,-26.8035,-1.96105e-11,-1.96141e-11,-1.9617e-11,-1.9619e-11,-1.96207e-11,-1.96219e-11,-1.9623e-11,-1.96236e-11,-1.96243e-11,-1.96247e-11
7.03181,-34.5655,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
7.07485,-36.1783,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.8998,-11.7929,2.53176e-08,2.13486e-08,1.77912e-08,1.46026e-08,1.17448e-08,9.1835e-09,6.88566e-09,4.82524e-09,2.97988e-09,1.15962e-09
7.11921,-37.7944,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.12457,-14.5302,2.25886e-09,1.84258e-09,1.28935e-09,1.02677e-09,7.97838e-10,5.98229e-10,3.92278e-10,2.5364e-10,1.32762e-10,2.7891e-11
6.31567,-17.3573,8.53921e-11,5.95275e-11,3.76179e-11,1.90585e-11,3.33733e-12,-4.44045e-12,-1.3191e-11,-2.06037e-11,-1.38516e-11,-1.69771e-11
7.11566,-37.7508,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
5.51095,-8.26485,4.7934e-07,4.13885e-07,3.53109e-07,2.96679e-07,2.44283e-07,1.95634e-07,1.50463e-07,1.08523e-07,6.9582e-08,3.34246e-08
5.48064,-8.04311,5.73225e-07,4.95629e-07,4.2342e-07,3.56225e-07,2.93696e-07,2.35508e-07,1.81361e-07,1.30975e-07,8.40874e-08,4.04552e-08
6.70452,-25.3261,-1.9571e-11,-1.95837e-11,-1.95939e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
